county_fips,dc_records,dc_count,dc_sqft,dc_mean_lat,dc_mean_lon,dc_types
09170,3,1,161901.0,41.47882441943097,-72.80100823739694,building
09190,6,2,264912.0,41.10243887708061,-73.45269050267692,building
11001,3,1,0.0,38.902887900000046,-77.0291491,point
12001,4,2,109110.0,29.67265034161003,-82.29988631229085,"building, point"
12011,6,2,368439.0,26.18754049503681,-80.24009978029619,building
12031,6,2,90603.0,30.288589014441584,-81.62207413982202,"building, point"
12057,9,3,383925.0,28.018893512237184,-82.41982176813511,"building, point"
12086,12,4,415608.0,25.75450592167547,-80.29107414252316,"building, point"
12095,6,2,347853.0,28.597668900410074,-81.47899030069782,building
12105,3,1,67734.0,28.294065018876342,-81.83484327674574,building
13067,6,2,288654.0,33.99811546436728,-84.57876422504538,building
13097,21,6,12544032.0,33.74349702381723,-84.5914875045048,"building, campus"
13113,6,2,1703481.0,33.44965440959188,-84.52310920062268,building
13117,3,1,521079.0,34.10338178437086,-84.21497175815165,building
13121,48,16,11997627.0,33.93406020116202,-84.32268655281547,"building, campus, point"
13135,11,4,5013602.0,34.0139995873991,-84.09733348103815,"building, campus"
13215,5,2,1191570.0,32.49821519544676,-84.88360717866199,"building, campus"
13217,11,4,23364746.0,33.59997508973026,-83.69933794609246,"building, campus"
16001,8,3,33960965.0,43.46339156228837,-116.26971616952045,"building, campus"
16007,3,1,12243.0,42.31728754492062,-111.30424469841125,building
16065,3,1,54807.0,43.825275254827545,-111.78208505772544,building
17019,3,1,136860.0,40.09531765518875,-88.24203201231559,building
17031,81,29,17887053.0,41.94169313448785,-87.8388344834994,"building, campus, point"
17037,11,4,29957828.0,41.88920554368087,-88.72698189004934,"building, campus"
17043,42,14,5721219.0,41.89190887440687,-88.06344221122023,building
17097,3,1,165003.0,42.21677570732836,-87.95287440144824,building
17119,3,1,612.0,38.81056014418681,-89.94870327625021,building
18059,3,1,63015.0,39.7171993486707,-85.94134588763215,building
18089,3,1,348042.0,41.70740966717327,-87.52019443687489,building
18105,3,1,282894.0,39.174401943978125,-86.50069826775196,building
18157,6,2,0.0,40.42182215,-86.91535,point
19049,27,9,5238768.0,41.545692514075476,-93.85402928950255,building
19103,3,1,8127.0,41.70399843300275,-91.58707810327284,building
19153,76,26,92444650.0,41.58089796603342,-93.61214819601722,"building, campus"
19155,58,20,15063930.0,41.18240208154599,-95.81366788297355,"building, campus"
19163,3,1,161949.0,41.55026944703892,-90.48240922530215,building
19181,19,6,18423304.0,41.49713373705881,-93.78741130178558,"building, campus"
20051,3,1,34683.0,38.87213220007106,-99.30018745000181,building
20091,18,6,1664349.0,38.93460210706995,-94.81436456276089,building
21071,3,1,46782.0,37.600174360686005,-82.67876479961144,building
21107,3,1,1327269.0,37.36291870159449,-87.54714040957238,campus
21111,6,2,213957.0,38.25985780544708,-85.62030162541267,building
21145,3,1,670548.0,37.0892017989318,-88.70301298676293,campus
22033,3,1,0.0,30.407445999999993,-91.1725454,point
23005,6,2,166149.0,43.77647325262759,-70.09223343248878,"building, point"
24003,6,2,369753.0,39.17684706206958,-76.64464126194999,building
24005,3,1,0.0,39.4273178,-76.8115503,point
24021,3,1,192069.0,39.37775930750399,-77.41154593289183,building
24027,3,1,336615.0,39.13363782367669,-76.8514584973205,building
24031,3,1,438903.0,39.05858271720809,-76.96425140224231,building
24033,3,1,129171.0,39.0528316220214,-76.92589865299398,building
24510,18,6,102033.0,39.28580670104094,-76.60270188030329,"building, point"
25009,3,1,154062.0,42.68570629095217,-71.20860420425517,building
25017,6,2,772875.0,42.50352495980235,-71.19205821491377,building
26045,6,2,287766.0,42.69667365823742,-84.65454987226497,building
26049,3,1,110505.0,42.968721210267155,-83.77962466687626,building
26099,3,1,0.0,42.62794240000004,-82.98839390000002,point
26115,3,1,0.0,41.8072817,-83.6276287,point
26125,3,1,121722.0,42.44771349283873,-83.26265595624602,building
26163,12,4,290115.0,42.27541535658967,-83.19727060262072,building
27003,3,1,222303.0,45.13221041443268,-93.09560022862742,building
27019,3,1,406515.0,44.851594064550454,-93.59883600651398,building
27037,8,3,22475602.0,44.734711259310984,-93.06318343190193,"building, campus"
27053,9,3,760575.0,45.03546938404015,-93.30735315364225,building
27109,3,1,144951.0,44.070824379278484,-92.5221171905334,building
27123,3,1,324603.0,44.97223391611859,-93.14739898231711,building
27137,3,1,81486.0,46.82748836003483,-92.13044104212865,building
28033,3,1,2438865.0,34.99348797181011,-90.0341700126791,building
